1.508,-3.356577,0,1,0,-0.8,10,11.35657,-10
1.525,-3.3876,0,1,0,-0.8,10,10.9376,-14
1.542,-3.417625,0,1,0,-0.8,10,10.51762,-18
1.559,-3.447634,0,1,0,-0.8,10,10.09763,-22
1.574,-3.474035,0,1,0,-0.8,10,9.674033,-25
1.592,-3.505825,0,1,0,-0.8,10,9.255823,-29
1.608,-3.534065,0,1,0,-0.8,10,8.834063,-31
1.625,-3.56405,0,1,0,-0.8,10,8.414049,-34
1.643,-3.595777,0,1,0,-0.8,10,7.995776,-37
1.658,-3.622265,0,1,0,-0.8,10,7.572263,-38
1.674,-3.650478,0,1,0,-0.8,10,7.150476,-40
1.691,-3.680466,0,1,0,-0.8,10,6.730465,-42
1.708,-3.710481,0,1,0,-0.8,10,6.31048,-43
1.725,-3.74045,0,1,0,-0.8,10,5.890449,-44
1.742,-3.770435,0,1,0,-0.8,10,5.470434,-45
1.759,-3.800436,0,1,0,-0.8,10,5.050435,-45
1.774,-3.826943,0,1,0,-0.8,10,4.626941,-45
1.792,-3.858727,0,1,0,-0.8,10,4.208725,-45
1.808,-3.886874,0,1,0,-0.8,10,3.786872,-45
1.825,-3.9169,0,1,0,-0.8,10,3.366898,-45
1.841,-3.945163,0,1,0,-0.8,10,2.945162,-44
1.858,-3.975165,0,1,0,-0.8,10,2.525163,-44
1.875,-4.005094,0,1,0,-0.8,10,2.105092,-43
1.891,-4.033364,0,1,0,-0.8,10,1.683362,-41
1.908,-4.063365,0,1,0,-0.8,10,1.263363,-40
1.924,-4.091578,0,1,0,-0.8,10,0.8415756,-38
1.941,-4.12156,0,1,0,-0.8,10,0.4215577,-37
1.958,-4.151565,0,1,0,-0.8,10,0.001562595,-35
1.976,-4.183322,0,1,0,-0.8,10,-0.4166794,-32
1.991,-4.209767,0,1,0,-0.8,10,-0.8402348,-30
2.007,-4.238023,0,1,0,-0.8,10,-1.261979,-28
2.024,-4.267978,0,1,0,-0.8,10,-1.682024,-25
2.041,-4.297966,0,1,0,-0.8,10,-2.102035,-22
