0.01,-10,0,1,0,-0.8,10
0.02,-9.9553,0,1,0,-0.8,10
0.03,-9.9107,0,1,0,-0.8,10
0.04,-9.866,0,1,0,-0.8,10
0.05,-9.8213,0,1,0,-0.8,10
0.06,-9.7766,0,1,0,-0.8,10
0.07,-9.732,0,1,0,-0.8,10
0.08,-9.6873,0,1,0,-0.8,10
0.09,-9.6426,0,1,0,-0.8,10
0.1,-9.5979,0,1,0,-0.8,10
0.11,-9.5533,0,1,0,-0.8,10
0.12,-9.5086,0,1,0,-0.8,10
0.13,-9.4639,0,1,0,-0.8,10
0.14,-9.4192,0,1,0,-0.8,10
0.15,-9.3746,0,1,0,-0.8,10
0.16,-9.3299,0,1,0,-0.8,10
0.17,-9.2852,0,1,0,-0.8,10
0.18,-9.2405,0,1,0,-0.8,10
0.19,-9.1959,0,1,0,-0.8,10
0.2,-9.1512,0,1,0,-0.8,10
0.21,-9.1065,0,1,0,-0.8,10
0.22,-9.0618,0,1,0,-0.8,10
0.23,-9.0172,0,1,0,-0.8,10
0.24,-8.9725,0,1,0,-0.8,10
0.25,-8.9278,0,1,0,-0.8,10
0.26,-8.8831,0,1,0,-0.8,10
0.27,-8.8385,0,1,0,-0.8,10
0.28,-8.7938,0,1,0,-0.8,10
0.29,-8.7491,0,1,0,-0.8,10
0.3,-8.7044,0,1,0,-0.8,10
0.31,-8.6598,0,1,0,-0.8,10
0.32,-8.6151,0,1,0,-0.8,10
0.33,-8.5704,0,1,0,-0.8,10
0.34,-8.5257,0,1,0,-0.8,10
0.35,-8.4811,0,1,0,-0.8,10
0.36,-8.4364,0,1,0,-0.8,10
0.37,-8.3917,0,1,0,-0.8,10
0.38,-8.347,0,1,0,-0.8,10
0.39,-8.3024,0,1,0,-0.8,10
0.4,-8.2577,0,1,0,-0.8,10
0.41,-8.213,0,1,0,-0.8,10
0.42,-8.1683,0,1,0,-0.8,10
0.43,-8.1237,0,1,0,-0.8,10
0.44,-8.079,0,1,0,-0.8,10
0.45,-8.0343,0,1,0,-0.8,10
0.46,-7.9896,0,1,0,-0.8,10
0.47,-7.945,0,1,0,-0.8,10
0.48,-7.9003,0,1,0,-0.8,10
0.49,-7.8556,0,1,0,-0.8,10
0.5,-7.8109,0,1,0,-0.8,10
0.51,-7.7663,0,1,0,-0.8,10
0.52,-7.7216,0,1,0,-0.8,10
0.53,-7.6769,0,1,0,-0.8,10
0.54,-7.6322,0,1,0,-0.8,10
0.55,-7.5876,0,1,0,-0.8,10
0.56,-7.5429,0,1,0,-0.8,10
0.57,-7.4982,0,1,0,-0.8,10
0.58,-7.4536,0,1,0,-0.8,10
0.59,-7.4089,0,1,0,-0.8,10
0.6,-7.3642,0,1,0,-0.8,10
0.61,-7.3195,0,1,0,-0.8,10
0.62,-7.2749,0,1,0,-0.8,10
0.63,-7.2302,0,1,0,-0.8,10
0.64,-7.1855,0,1,0,-0.8,10
0.65,-7.1408,0,1,0,-0.8,10
0.66,-7.0962,0,1,0,-0.8,10
0.67,-7.0515,0,1,0,-0.8,10
0.68,-7.0068,0,1,0,-0.8,10
0.69,-6.9621,0,1,0,-0.8,10
0.7,-6.9175,0,1,0,-0.8,10
0.71,-6.8728,0,1,0,-0.8,10
0.72,-6.8281,0,1,0,-0.8,10
0.73,-6.7834,0,1,0,-0.8,10
0.74,-6.7388,0,1,0,-0.8,10
0.75,-6.6941,0,1,0,-0.8,10
0.76,-6.6494,0,1,0,-0.8,10
0.77,-6.6047,0,1,0,-0.8,10
0.78,-6.5601,0,1,0,-0.8,10
0.79,-6.5154,0,1,0,-0.8,10
0.8,-6.4707,0,1,0,-0.8,10
0.81,-6.426,0,1,0,-0.8,10
0.82,-6.3814,0,1,0,-0.8,10
0.83,-6.3367,0,1,0,-0.8,10
0.84,-6.292,0,1,0,-0.8,10
0.85,-6.2473,0,1,0,-0.8,10
0.86,-6.2027,0,1,0,-0.8,10
0.87,-6.158,0,1,0,-0.8,10
0.88,-6.1133,0,1,0,-0.8,10
0.89,-6.0686,0,1,0,-0.8,10
0.9,-6.024,0,1,0,-0.8,10
0.91,-5.9793,0,1,0,-0.8,10
0.92,-5.9346,0,1,0,-0.8,10
0.93,-5.8899,0,1,0,-0.8,10
0.94,-5.8453,0,1,0,-0.8,10
0.95,-5.8006,0,1,0,-0.8,10
0.96,-5.7559,0,1,0,-0.8,10
0.97,-5.7112,0,1,0,-0.8,10
0.98,-5.6666,0,1,0,-0.8,10
0.99,-5.6219,0,1,0,-0.8,10
1,-5.5772,0,1,0,-0.8,10
1.01,-5.5325,0,1,0,-0.8,10
1.02,-5.4879,0,1,0,-0.8,10
1.03,-5.4432,0,1,0,-0.8,10
1.04,-5.3985,0,1,0,-0.8,10
1.05,-5.3538,0,1,0,-0.8,10
1.06,-5.3092,0,1,0,-0.8,10
1.07,-5.2645,0,1,0,-0.8,10
1.08,-5.2198,0,1,0,-0.8,10
1.09,-5.1752,0,1,0,-0.8,10
1.1,-5.1305,0,1,0,-0.8,10
1.11,-5.0858,0,1,0,-0.8,10
1.12,-5.0411,0,1,0,-0.8,10
1.13,-4.9965,0,1,0,-0.8,10
1.14,-4.9518,0,1,0,-0.8,10
1.15,-4.9071,0,1,0,-0.8,10
1.16,-4.8624,0,1,0,-0.8,10
1.17,-4.8178,0,1,0,-0.8,10
1.18,-4.7731,0,1,0,-0.8,10
1.19,-4.7284,0,1,0,-0.8,10
1.2,-4.6837,0,1,0,-0.8,10
1.21,-4.6391,0,1,0,-0.8,10
1.22,-4.5944,0,1,0,-0.8,10
