0.01,-2.3462,0,10,0,-1,10
0.02,-2.3015,0,10,0,-1,10
0.03,-2.2568,0,10,0,-1,10
0.04,-2.2121,0,10,0,-1,10
0.05,-2.1674,0,10,0,-1,10
0.06,-2.1227,0,10,0,-1,10
0.07,-2.078,0,10,0,-1,10
0.08,-2.0333,0,10,0,-1,10
0.09,-1.9886,0,10,0,-1,10
0.1,-1.944,0,10,0,-1,10
0.11,-1.8993,0,10,0,-1,10
0.12,-1.8546,0,10,0,-1,10
0.13,-1.8099,0,10,0,-1,10
0.14,-1.7652,0,10,0,-1,10
0.15,-1.7205,0,10,0,-1,10
0.16,-1.6758,0,10,0,-1,10
0.17,-1.6311,0,10,0,-1,10
0.18,-1.5864,0,10,0,-1,10
0.19,-1.5417,0,10,0,-1,10
0.2,-1.4971,0,10,0,-1,10
0.21,-1.4524,0,10,0,-1,10
0.22,-1.4077,0,10,0,-1,10
0.23,-1.363,0,10,0,-1,10
0.24,-1.3183,0,10,0,-1,10
0.25,-1.2736,0,10,0,-1,10
0.26,-1.2289,0,10,0,-1,10
0.27,-1.1842,0,10,0,-1,10
0.28,-1.1395,0,10,0,-1,10
0.29,-1.0948,0,10,0,-1,10
0.3,-1.0502,0,10,0,-1,10
0.31,-1.0055,0,10,0,-1,10
0.32,-0.96077,0,10,0,-1,10
0.33,-0.91608,0,10,0,-1,10
0.34,-0.87139,0,10,0,-1,10
0.35,-0.8267,0,10,0,-1,10
0.36,-0.78201,0,10,0,-1,10
0.37,-0.73732,0,10,0,-1,10
0.38,-0.69263,0,10,0,-1,10
0.39,-0.64794,0,10,0,-1,10
0.4,-0.60325,0,10,0,-1,10
0.41,-0.55856,0,10,0,-1,10
0.42,-0.51387,0,10,0,-1,10
0.43,-0.46918,0,10,0,-1,10
0.44,-0.42449,0,10,0,-1,10
0.45,-0.3798,0,10,0,-1,10
0.46,-0.33511,0,10,0,-1,10
0.47,-0.29042,0,10,0,-1,10
0.48,-0.24573,0,10,0,-1,10
0.49,-0.20104,0,10,0,-1,10
0.5,-0.15635,0,10,0,-1,10
0.51,-0.11166,0,10,0,-1,10
0.52,-0.066971,0,10,0,-1,10
0.53,-0.022281,0,10,0,-1,10
0.54,0.022409,0,10,0,-1,10
0.55,0.067099,0,10,0,-1,10
0.56,0.11179,0,10,0,-1,10
0.57,0.15648,0,10,0,-1,10
0.58,0.20117,0,10,0,-1,10
0.59,0.24586,0,10,0,-1,10
0.6,0.29055,0,10,0,-1,10
0.61,0.33524,0,10,0,-1,10
0.62,0.37993,0,10,0,-1,10
0.63,0.42462,0,10,0,-1,10
0.64,0.46931,0,10,0,-1,10
0.65,0.514,0,10,0,-1,10
0.66,0.55869,0,10,0,-1,10
0.67,0.60338,0,10,0,-1,10
0.68,0.64807,0,10,0,-1,10
0.69,0.69276,0,10,0,-1,10
0.7,0.73745,0,10,0,-1,10
0.71,0.78214,0,10,0,-1,10
0.72,0.82683,0,10,0,-1,10
0.73,0.87152,0,10,0,-1,10
0.74,0.91621,0,10,0,-1,10
0.75,0.9609,0,10,0,-1,10
0.76,1.0056,0,10,0,-1,10
0.77,1.0503,0,10,0,-1,10
0.78,1.095,0,10,0,-1,10
0.79,1.1397,0,10,0,-1,10
0.8,1.1843,0,10,0,-1,10
0.81,1.229,0,10,0,-1,10
0.82,1.2737,0,10,0,-1,10
